Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
32;26968;Journal of Photochemistry and Photobiology C: Photochemistry Reviews;journal;13895567;2.943;Q1;95;21;66;3706;917;64;10.23;176.48;Netherlands;Western Europe;Elsevier;2000-2021;"Catalysis (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
33;19700188418;Annual Review of Chemical and Biomolecular Engineering;journal;19475438, 19475446;2.864;Q1;66;19;70;2302;630;68;9.53;121.16;United States;Northern America;Annual Reviews Inc.;2010-2021;"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
34;14151;Molecular and Cellular Proteomics;journal;15359476, 15359484;2.807;Q1;196;181;697;11001;3843;691;4.89;60.78;United States;Northern America;Elsevier BV;2002-2021;"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)"
35;19400156815;Annual Review of Analytical Chemistry;journal;19361335, 19361327;2.663;Q1;78;23;65;2985;635;65;9.53;129.78;United States;Northern America;Annual Reviews Inc.;2008-2021;"Analytical Chemistry (Q1); Medicine (miscellaneous) (Q1)"
36;21100406867;IUCrJ;journal;20522525;2.628;Q1;48;97;229;3912;1006;185;3.93;40.33;United Kingdom;Western Europe;International Union of Crystallography;2014-2021;"Biochemistry (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
37;15437;Biosensors and Bioelectronics;journal;18734235, 09565663;2.553;Q1;205;887;2917;44550;27304;2900;9.78;50.23;United Kingdom;Western Europe;Elsevier Ltd.;1990-2022;"Biomedical Engineering (Q1); Biophysics (Q1); Biotechnology (Q1); Electrochemistry (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
38;21537;"Environmental Science &amp; Technology";journal;0013936X, 15205851;2.514;Q1;425;1569;4865;88575;36780;4667;7.02;56.45;United States;Northern America;American Chemical Society;1958, 1967-2021;"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Medicine (miscellaneous) (Q1)"
39;27035;Progress in Solid State Chemistry;journal;00796786;2.45;Q1;52;13;20;1297;207;20;5.85;99.77;United Kingdom;Western Europe;Elsevier Ltd.;1964-1965, 1967, 1971-1973, 1975-1976, 1978-1991, 1993, 1995-2021;"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)"
40;26396;Organic Letters;journal;15237052, 15237060;2.441;Q1;246;1859;4890;88875;31318;4846;6.66;47.81;United States;Northern America;American Chemical Society;1999-2021;"Biochemistry (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)"
41;24085;Progress in Nuclear Magnetic Resonance Spectroscopy;journal;00796565, 18733301;2.429;Q1;109;20;51;4514;437;49;9.49;225.7;Netherlands;Western Europe;Elsevier;1965-1967, 1969-1973, 1975-1982, 1984-2021;"Analytical Chemistry (Q1); Biochemistry (Q1); Materials Science (miscellaneous) (Q1); Nuclear and High Energy Physics (Q1); Spectroscopy (Q1)"
42;24738;Lab on a Chip;journal;14730197, 14730189;2.365;Q1;221;346;1336;19121;9298;1321;7.22;55.26;United Kingdom;Western Europe;Royal Society of Chemistry;2001-2021;"Biochemistry (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
43;26947;Journal of Catalysis;journal;10902694, 00219517;2.254;Q1;253;390;986;21597;7720;982;7.8;55.38;United States;Northern America;Academic Press Inc.;1962-2021;"Catalysis (Q1); Physical and Theoretical Chemistry (Q1)"
44;21100779404;Macromolecules;journal;00249297, 15205835;2.243;Q1;323;1029;2920;55332;17427;2912;6.05;53.77;United States;Northern America;American Chemical Society;1968-2021;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
45;5100155074;Journal of Chemical Theory and Computation;journal;15499626, 15499618;2.236;Q1;193;585;1650;41908;9347;1648;5.22;71.64;United States;Northern America;American Chemical Society;2005-2021;"Computer Science Applications (Q1); Physical and Theoretical Chemistry (Q1)"
46;21100209317;ACS Macro Letters;journal;21611653;2.201;Q1;101;262;842;10545;4998;838;5.81;40.25;United States;Northern America;American Chemical Society;2012-2021;"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)"
