Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
42;21100218107;Journal of Advances in Modeling Earth Systems;journal;19422466;2,492;Q1;38;163;388;10507;1457;383;3,48;64,46;United States;Wiley-Blackwell;2011-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q1); Environmental Chemistry (Q1); Global and Planetary Change (Q1)"
43;12000154478;ChemSusChem;journal;1864564X, 18645631;2,367;Q1;130;511;1567;30023;11169;1483;7,35;58,75;Germany;Wiley - V C H Verlag GmbbH & Co.;2008-ongoing;"Chemical Engineering (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Science (miscellaneous) (Q1)"
44;15143;Regional Studies;journal;13600591, 00343404;2,327;Q1;105;202;428;9459;1674;398;3,34;46,83;United Kingdom;Carfax Publishing Ltd.;1967-ongoing;"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
45;29945;Journal of Carcinogenesis;journal;14773163;2,324;Q1;34;6;11;223;78;10;11,00;37,17;India;Medknow Publications;2002-ongoing;"Cancer Research (Q1); Health, Toxicology and Mutagenesis (Q1); Oncology (Q1)"
46;21100297619;Geochemical Perspectives;journal;22237755, 22242759;2,284;Q1;11;2;7;334;41;7;6,25;167,00;Netherlands;European Association of Geochemistry;2012-ongoing;"Environmental Chemistry (Q1); Geochemistry and Petrology (Q1); Geology (Q1)"
47;21100265617;Weather and Climate Extremes;journal;22120947;2,276;Q1;21;36;93;1578;524;86;4,42;43,83;Netherlands;Elsevier BV;2013-ongoing;"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
48;17244;Biological Conservation;journal;00063207;2,242;Q1;173;434;1178;27814;5716;1077;4,69;64,09;Netherlands;Elsevier BV;1968-ongoing;"Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
49;23352;Journal of Environmental Economics and Management;journal;10960449, 00950696;2,232;Q1;105;139;171;6044;708;164;4,42;43,48;United States;Elsevier Inc.;1974-ongoing;"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
50;24497;Wildlife Monographs;journal;00840173;2,208;Q1;37;2;8;423;41;8;3,33;211,50;United States;Wiley-Blackwell;1981-ongoing;"Ecology, Evolution, Behavior and Systematics (Q1); Nature and Landscape Conservation (Q1)"
51;19696;International Journal of Project Management;journal;02637863;2,203;Q1;121;88;401;6976;2560;386;5,98;79,27;United Kingdom;Elsevier Ltd.;1983-ongoing;"Business and International Management (Q1); Management, Monitoring, Policy and Law (Q1); Management of Technology and Innovation (Q1)"
52;23406;Business Strategy and the Environment;journal;10990836, 09644733;2,166;Q1;84;154;174;11148;1415;173;7,86;72,39;United States;John Wiley & Sons Inc.;1992-ongoing;"Business and International Management (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1)"
53;15423;Bioresource Technology;journal;09608524;2,157;Q1;251;1721;4766;74886;33591;4732;6,96;43,51;Netherlands;Elsevier BV;1990-ongoing;"Bioengineering (Q1); Environmental Engineering (Q1); Medicine (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)"
54;21100218523;Ecosystem Services;journal;22120416;2,151;Q1;46;188;454;12372;2893;418;6,40;65,81;Netherlands;Elsevier BV;2012-ongoing;"Agricultural and Biological Sciences (miscellaneous) (Q1); Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
55;18854;Water Resources Research;journal;00431397;2,135;Q1;183;571;1748;38047;8240;1680;4,27;66,63;United States;Wiley-Blackwell;1965-ongoing;Water Science and Technology (Q1)
56;29472;Hydrology and Earth System Sciences;journal;10275606;2,134;Q1;107;367;952;24260;4669;948;4,54;66,10;Germany;Copernicus GmbH;1997-ongoing;"Earth and Planetary Sciences (miscellaneous) (Q1); Water Science and Technology (Q1)"
57;30867;TrAC - Trends in Analytical Chemistry;journal;01659936;2,134;Q1;142;256;670;25503;5692;652;8,46;99,62;Netherlands;Elsevier BV;1981-ongoing;"Analytical Chemistry (Q1); Environmental Chemistry (Q1); Spectroscopy (Q1)"
58;20287;Ecological Applications;journal;10510761;2,116;Q1;193;171;632;12359;2768;606;4,43;72,27;United States;Wiley-Blackwell;1991-ongoing;Ecology (Q1)
59;29684;Urban Studies;journal;00420980, 1360063X;2,115;Q1;131;277;563;13415;2170;540;3,46;48,43;United Kingdom;SAGE Publications Ltd;1964-ongoing;"Environmental Science (miscellaneous) (Q1); Urban Studies (Q1)"
60;7000153205;Journal of Environmental Informatics;journal;17262135, 16848799;2,100;Q1;27;6;72;302;287;72;4,81;50,33;Canada;International Society for Environmental Information Sciences;2007-ongoing;"Computer Science Applications (Q1); Decision Sciences (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)"
61;21100433120;Microbiology spectrum;journal;21650497;2,093;Q1;32;90;483;5748;2126;483;3,88;63,87;United States;American Society for Microbiology;2013-ongoing;"Cell Biology (Q1); Ecology (Q1); Genetics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Physiology (Q1)"
62;18988;Mutation Research - Reviews in Mutation Research;journal;13835742;2,078;Q1;114;28;136;3643;807;124;6,36;130,11;Netherlands;Elsevier BV;1990-1995, 1997-ongoing;"Genetics (Q1); Health, Toxicology and Mutagenesis (Q1)"
