Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2002);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
424;18766;Petroleum Chemistry;journal;15556239, 09655441;0.113;Q3;27;73;212;1728;14;212;0.08;23.67;United States;Northern America;Pleiades Publishing;1991-2021;"Chemical Engineering (miscellaneous) (Q3); Energy Engineering and Power Technology (Q3); Fuel Technology (Q3); Chemistry (miscellaneous) (Q4); Geochemistry and Petrology (Q4)"
425;18820;Pipes and Pipelines International;journal;0032020X;0.113;Q3;10;137;147;60;10;91;0.04;0.44;United Kingdom;Western Europe;Scientific Surveys Ltd.;1969-2003;"Management of Technology and Innovation (Q3); Mechanical Engineering (Q3); Process Chemistry and Technology (Q3)"
426;14353;Plastics Engineering;journal;00919578, 19419635;0.113;Q3;13;17;102;60;9;93;0.08;3.53;United States;Northern America;Wiley-Blackwell;1973-1991, 1993-2021;"Chemical Engineering (miscellaneous) (Q3); Polymers and Plastics (Q3); Materials Chemistry (Q4)"
427;12968;Gaofenzi Cailiao Kexue Yu Gongcheng/Polymeric Materials Science and Engineering;journal;10007555;0.112;Q3;14;143;206;0;9;206;0.04;0;China;Asiatic Region;Chengdu University of Science and Technology;1993-1995, 1998, 2001-2021;"Polymers and Plastics (Q3); Process Chemistry and Technology (Q3)"
428;19127;Industrial Heating;trade journal;00198374;0.112;Q3;12;45;173;95;11;173;0.05;2.11;United States;Northern America;Business News Pub. Co.;1969-1972, 1974-1976, 1978-1990, 1992-2008;Fluid Flow and Transfer Processes (Q3)
429;86033;IPPTA: Quarterly Journal of Indian Pulp and Paper Technical Association;journal;03795462;0.112;Q3;12;70;179;775;13;179;0.09;11.07;India;Asiatic Region;Indian Pulp and Paper Technical Association;1998-2019;"Chemical Engineering (miscellaneous) (Q3); Media Technology (Q3); Chemistry (miscellaneous) (Q4); Materials Chemistry (Q4)"
430;4700152859;Maderas: Ciencia y Tecnologia;journal;07173644, 0718221X;0.112;Q3;29;18;14;193;1;14;0.07;10.72;Chile;Latin America;Universidade Federal de Sao Carlos;2001-2002, 2006-2021;"Chemical Engineering (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Materials Science (miscellaneous) (Q3); Forestry (Q4)"
431;39085;Steel Times;journal;0039095X;0.112;Q3;4;0;136;0;1;99;0.01;0;United Kingdom;Western Europe;DMG World Media (UK) Ltd.;1969-2001;"Fluid Flow and Transfer Processes (Q3); Metals and Alloys (Q3)"
432;120148;TAPPI - Polymers, Laminations and Coatings Conference;conference and proceedings;1047305X;0.112;-;8;0;181;0;17;176;0.09;0;United States;Northern America;;;"Chemical Engineering (miscellaneous); Polymers and Plastics"
433;14354;Teoreticheskie Osnovy Khimicheskoi Tekhnologii;journal;00403571;0.112;Q3;8;99;92;0;25;92;0.27;0;Russian Federation;Eastern Europe;Russian Academy of Sciences;1977, 1991-1995, 2001-2004;"Process Chemistry and Technology (Q3); Filtration and Separation (Q4)"
434;34541;Automedica;journal;00950963;0.111;Q4;5;0;24;0;4;22;0.11;0;Switzerland;Western Europe;Gordon and Breach Science Publishers;1974-1975, 1977-1984, 1992-1994, 1998-2001;"Bioengineering (Q4); Biophysics (Q4)"
435;145059;CTyF - Ciencia, Tecnologia y Futuro;journal;23824581, 01225383;0.111;-;16;13;36;108;1;36;0.04;8.31;Colombia;Latin America;Ecopetrol S.A.;1996-2021;Energy (miscellaneous) (Q3)
436;110297;Fibre chemistry;journal;00150541, 15738493;0.111;Q3;21;85;279;937;3;279;0.01;11.02;United States;Northern America;Springer Science + Business Media;1969-2021;"Chemical Engineering (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4)"
437;21100381225;FLOMEKO 2000 - 10th Conference on Flow Measurement;conference and proceedings;-;0.111;-;7;0;100;0;14;99;0.14;0;Hungary;Eastern Europe;;;Fluid Flow and Transfer Processes
438;13026;Huadong Ligong Daxue Xuebao /Journal of East China University of Science and Technology;journal;10063080;0.111;Q3;13;76;111;0;7;111;0.06;0;China;Asiatic Region;East China University of Science and Technology;1993-1995, 2001-2021;"Chemical Engineering (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Materials Chemistry (Q4)"
439;22660;Acta Polytechnica Scandinavica, Chemical Technology Series;journal;12390518;0.11;Q3;7;7;25;921;6;25;0.36;131.57;Finland;Western Europe;Finnish Academies of Technology;1996-2002;Chemical Engineering (miscellaneous) (Q3)
440;60113;Today's Chemist at Work;trade journal;1062094X;0.11;Q3;8;0;201;0;6;153;0.03;0;United States;Northern America;American Chemical Society;1995-2001;"Process Chemistry and Technology (Q3); Filtration and Separation (Q4)"
441;82174;Boletin Intexter;journal;11316756;0.109;Q3;3;19;35;179;1;35;0;9.42;Spain;Western Europe;Instituto de Investigacion Textil y de Cooperacion Industrial;1990-2008, 2010;"Chemical Engineering (miscellaneous) (Q3); History (Q3); Polymers and Plastics (Q3); Environmental Science (miscellaneous) (Q4)"
